12:11:57 | INFO | conftest:auth_state | Performing session-level authentication...
12:11:57 | INFO | framework.locators.main_interfaces:open | Opening page SignInPage at https://test.detelio.ai
12:11:58 | INFO | framework.locators.main_interfaces:wait_loaded | Waiting for SignInPage to be loaded
12:12:00 | INFO | framework.locators.sign_in_page:login | ✓ Entering username
12:12:00 | INFO | framework.locators.sign_in_page:login | ✓ Entering password
12:12:00 | INFO | framework.locators.sign_in_page:login | ✓ Clicking login button
12:12:00 | INFO | framework.locators.sign_in_page:login | ✓ Verifying login success
12:12:00 | INFO | conftest:auth_state | ✓ Authentication successful. State saved to /home/runner/work/detelio_autotests/detelio_autotests/state/auth_state.json
12:12:00 | INFO | framework.locators.main_interfaces:open | Opening page AdminPage at https://test.detelio.ai
12:12:01 | INFO | framework.locators.main_interfaces:wait_loaded | Waiting for AdminPage to be loaded
12:12:02 | INFO | framework.locators.main_interfaces:navigate_to_links | Navigating to links
12:12:03 | INFO | framework.locators.main_interfaces:wait_loaded | Waiting for LinksPage to be loaded
