"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Leave a single required field empty and verify the *This field is required* message.

        All other fields are filled with valid dummy data.
        ","157","Required fields validation","tests","Thu Feb 12 15:31:31 UTC 2026","passed","Thu Feb 12 15:31:31 UTC 2026","TestSignUpPage","test_sign_up_page","",""
"
        Test the complete flow of generating a link and verifying it appears in the Links page.

        This test verifies that:
        1. User can generate a natural person or company link
        2. The generated link appears in the Links page table
        ","4967","Generate Link Functional Flow","tests","Thu Feb 12 15:30:07 UTC 2026","passed","Thu Feb 12 15:30:11 UTC 2026","TestWorkflowsPage","test_workflows_page","",""
"
        Test notification for invalid email and password.

        This test verifies that:
        1. User can navigate to the sign-in page
        2. User can attempt login with invalid credentials
        3. Error notification appears for invalid credentials
        ","1360","Invalid Credentials Notification","tests","Thu Feb 12 15:30:43 UTC 2026","passed","Thu Feb 12 15:30:44 UTC 2026","TestSignInPage","test_sign_in_page","",""
"
        Test the complete flow of generating a link and verifying it appears in the Links page.

        This test verifies that:
        1. User can generate a natural person or company link
        2. The generated link appears in the Links page table
        ","6118","Generate Link Functional Flow","tests","Thu Feb 12 15:31:05 UTC 2026","passed","Thu Feb 12 15:31:11 UTC 2026","TestWorkflowsPage","test_workflows_page","",""
"
        Test that search filters links correctly by Email.
        ","1863","Search by Email","tests","Thu Feb 12 15:28:47 UTC 2026","passed","Thu Feb 12 15:28:49 UTC 2026","TestLinksPage","test_links_page","",""
"
        Test required field validations when generating a link.

        This test verifies that:
        1. Required field validation messages appear when submitting empty form
        2. All expected validations are shown for natural person and company forms
        ","2067","Required Field Validations","tests","Thu Feb 12 15:29:55 UTC 2026","passed","Thu Feb 12 15:29:57 UTC 2026","TestWorkflowsPage","test_workflows_page","",""
"Leave a single required field empty and verify the *This field is required* message.

        All other fields are filled with valid dummy data.
        ","175","Required fields validation","tests","Thu Feb 12 15:31:36 UTC 2026","passed","Thu Feb 12 15:31:36 UTC 2026","TestSignUpPage","test_sign_up_page","",""
"Leave a single required field empty and verify the *This field is required* message.

        All other fields are filled with valid dummy data.
        ","158","Required fields validation","tests","Thu Feb 12 15:29:43 UTC 2026","passed","Thu Feb 12 15:29:43 UTC 2026","TestSignUpPage","test_sign_up_page","",""
"
        Test that filter popover and its elements are correctly displayed.

        This test verifies that:
        1. Filter button opens the popover
        2. Filter fields are visible
        3. Profile type options are correct
        ","148","Filter Popover Visibility","tests","Thu Feb 12 15:28:35 UTC 2026","passed","Thu Feb 12 15:28:35 UTC 2026","TestLinksPage","test_links_page","",""
"
        Test that the workflows page loads and is fully visible.

        This test verifies that:
        1. User can navigate to the workflows page
        2. Essential elements are visible
        ","1020","Workflows Page Load","tests","Thu Feb 12 15:29:51 UTC 2026","passed","Thu Feb 12 15:29:52 UTC 2026","TestWorkflowsPage","test_workflows_page","",""
