"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
        Test validation for empty email and/or password fields.

        Scenarios:
        - Empty email
        - Empty password
        - Both fields empty
        ","598","Empty fields validation","tests","Thu Dec 25 16:26:38 UTC 2025","passed","Thu Dec 25 16:26:39 UTC 2025","TestSignInPage","test_signin_page","",""
"","118","test_password_hide_button_is_working[chromium]","tests","Thu Dec 25 16:26:16 UTC 2025","passed","Thu Dec 25 16:26:16 UTC 2025","TestSignInPage","test_signin_page","",""
"
        Test validation for empty email and/or password fields.

        Scenarios:
        - Empty email
        - Empty password
        - Both fields empty
        ","594","Wrong format fields validation","tests","Thu Dec 25 16:26:36 UTC 2025","passed","Thu Dec 25 16:26:36 UTC 2025","TestSignInPage","test_signin_page","",""
"
        Test notification for invalid email and password.

        This test verifies that:
        1. User can navigate to the sign-in page
        2. User can attempt login with invalid credentials
        3. Error notification appears for invalid credentials
        ","1350","Invalid Credentials Notification","tests","Thu Dec 25 16:26:08 UTC 2025","passed","Thu Dec 25 16:26:10 UTC 2025","TestSignInPage","test_signin_page","",""
"
        Test that search options are correctly displayed.

        This test verifies that:
        1. Default search option is Name
        2. All search options are available in the dropdown
        ","1494","Search Options Visibility","tests","Thu Dec 25 16:25:58 UTC 2025","passed","Thu Dec 25 16:25:59 UTC 2025","TestLinksPage","test_links_page","",""
"
        Test validation for empty email and/or password fields.

        Scenarios:
        - Empty email
        - Empty password
        - Both fields empty
        ","613","Wrong format fields validation","tests","Thu Dec 25 16:26:42 UTC 2025","passed","Thu Dec 25 16:26:43 UTC 2025","TestSignInPage","test_signin_page","",""
"
        Test closing the invalid credentials notification.

        This test verifies that:
        1. User can navigate to the sign-in page
        2. User can attempt login with invalid credentials
        3. Error notification appears and can be closed
        ","2559","Close Invalid Credentials Notification","tests","Thu Dec 25 16:26:11 UTC 2025","passed","Thu Dec 25 16:26:13 UTC 2025","TestSignInPage","test_signin_page","",""
"
        Test validation for empty email and/or password fields.

        Scenarios:
        - Empty email
        - Empty password
        - Both fields empty
        ","594","Wrong format fields validation","tests","Thu Dec 25 16:26:15 UTC 2025","passed","Thu Dec 25 16:26:15 UTC 2025","TestSignInPage","test_signin_page","",""
"
        Test notification for invalid email and password.

        This test verifies that:
        1. User can navigate to the sign-in page
        2. User can attempt login with invalid credentials
        3. Error notification appears for invalid credentials
        ","1249","Invalid Credentials Notification","tests","Thu Dec 25 16:26:34 UTC 2025","passed","Thu Dec 25 16:26:35 UTC 2025","TestSignInPage","test_signin_page","",""
"
        Test successful login process.

        This test verifies that:
        1. User can navigate to the application
        2. User can perform login with valid credentials
        3. Login is successful and user is redirected to workflows page
        ","2061","Successful Login","tests","Thu Dec 25 16:26:03 UTC 2025","passed","Thu Dec 25 16:26:05 UTC 2025","TestSignInPage","test_signin_page","",""
"
        Test that filter popover and its elements are correctly displayed.

        This test verifies that:
        1. Filter button opens the popover
        2. Filter fields are visible
        3. Profile type options are correct
        ","1743","Filter Popover Visibility","tests","Thu Dec 25 16:25:59 UTC 2025","passed","Thu Dec 25 16:26:01 UTC 2025","TestLinksPage","test_links_page","",""
"
        Test that the login page loads and is fully visible.

        This test verifies that:
        1. User can navigate to the sign-in page
        2. Essential elements (email, password, sign-in button) are visible
        ","10","Login Page Load","tests","Thu Dec 25 16:26:02 UTC 2025","passed","Thu Dec 25 16:26:02 UTC 2025","TestSignInPage","test_signin_page","",""
"
        Test that the links page loads and displays correct headers.

        This test verifies that:
        1. User can navigate to the links page
        2. Table headers are correct
        ","1503","Links Page Load","tests","Thu Dec 25 16:25:56 UTC 2025","passed","Thu Dec 25 16:25:57 UTC 2025","TestLinksPage","test_links_page","",""
"
        Test validation for empty email and/or password fields.

        Scenarios:
        - Empty email
        - Empty password
        - Both fields empty
        ","606","Empty fields validation","tests","Thu Dec 25 16:26:07 UTC 2025","passed","Thu Dec 25 16:26:07 UTC 2025","TestSignInPage","test_signin_page","",""
"
        Test the flow of generating a link and verifying it appears in the Links page.

        This test verifies that:
        1. User can generate a natural person link
        2. The link appears in the Links page table
        ","0","Generate Link Functional Flow","tests","Thu Dec 25 16:26:37 UTC 2025","broken","Thu Dec 25 16:26:37 UTC 2025","TestWorkflowsPage","test_workflows_page","",""
"
        Test that the workflows page loads and is fully visible.

        This test verifies that:
        1. User can navigate to the workflows page
        2. Essential elements are visible
        ","1801","Workflows Page Load","tests","Thu Dec 25 16:26:17 UTC 2025","passed","Thu Dec 25 16:26:18 UTC 2025","TestWorkflowsPage","test_workflows_page","",""
"
        Test that the generate link modal opens correctly.

        This test verifies that:
        1. User can click generate button
        2. Modal appears with correct title
        ","1660","Generate Link Modal Load","tests","Thu Dec 25 16:26:19 UTC 2025","passed","Thu Dec 25 16:26:20 UTC 2025","TestWorkflowsPage","test_workflows_page","",""
"
        Test validation for empty email and/or password fields.

        Scenarios:
        - Empty email
        - Empty password
        - Both fields empty
        ","602","Empty fields validation","tests","Thu Dec 25 16:26:32 UTC 2025","passed","Thu Dec 25 16:26:32 UTC 2025","TestSignInPage","test_signin_page","",""
"
        Test the flow of generating a link and verifying it appears in the Links page.

        This test verifies that:
        1. User can generate a natural person link
        2. The link appears in the Links page table
        ","9994","Generate Link Functional Flow","tests","Thu Dec 25 16:26:21 UTC 2025","failed","Thu Dec 25 16:26:31 UTC 2025","TestWorkflowsPage","test_workflows_page","",""
