"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
        Test that search filters links correctly by Partial Email.
        Verifies that ALL result rows contain the partial text in the Email column.
        ","1741","Search by Partial Email","tests","Mon Feb 02 18:30:57 UTC 2026","passed","Mon Feb 02 18:30:59 UTC 2026","TestLinksPage","test_links_page","",""
"
        Test validation for invalid email format when generating a link.

        Scenarios:
        - Missing @ symbol
        - Missing domain part
        - Missing local part
        - Invalid domain
        ","1385","Invalid Email Format Validation","tests","Mon Feb 02 18:32:10 UTC 2026","passed","Mon Feb 02 18:32:12 UTC 2026","TestWorkflowsPage","test_workflows_page","",""
"
        Test that search filters links correctly by Full Name.
        ","919","Search by Name","tests","Mon Feb 02 18:30:49 UTC 2026","passed","Mon Feb 02 18:30:50 UTC 2026","TestLinksPage","test_links_page","",""
"Check that the UI reports password‑strength violations.

        The exact validation messages are defined by the application; the test
        asserts that *some* message appears containing the expected hint.
        ","168","Password rules validation","tests","Mon Feb 02 18:31:52 UTC 2026","passed","Mon Feb 02 18:31:52 UTC 2026","TestSignUpPage","test_sign_up_page","",""
"
        Test that search filters links correctly by Email.
        ","1718","Search by Email","tests","Mon Feb 02 18:29:24 UTC 2026","passed","Mon Feb 02 18:29:26 UTC 2026","TestLinksPage","test_links_page","",""
"
        Test validation for empty email and/or password fields.

        Scenarios:
        - Empty email
        - Empty password
        - Both fields empty
        ","695","Wrong format fields validation","tests","Mon Feb 02 18:30:14 UTC 2026","broken","Mon Feb 02 18:30:15 UTC 2026","TestSignInPage","test_sign_in_page","",""
"
        Test that search filters links correctly by Partial Name.
        Verifies that ALL result rows contain the partial text in the relevant column.
        ","928","Search by Partial Name","tests","Mon Feb 02 18:30:55 UTC 2026","passed","Mon Feb 02 18:30:55 UTC 2026","TestLinksPage","test_links_page","",""
"
        Test notification for invalid email and password.

        This test verifies that:
        1. User can navigate to the sign-in page
        2. User can attempt login with invalid credentials
        3. Error notification appears for invalid credentials
        ","1182","Invalid Credentials Notification","tests","Mon Feb 02 18:30:07 UTC 2026","passed","Mon Feb 02 18:30:08 UTC 2026","TestSignInPage","test_sign_in_page","",""
"
        Test validation for invalid email format when generating a link.

        Scenarios:
        - Missing @ symbol
        - Missing domain part
        - Missing local part
        - Invalid domain
        ","496","Invalid Email Format Validation","tests","Mon Feb 02 18:30:35 UTC 2026","passed","Mon Feb 02 18:30:35 UTC 2026","TestWorkflowsPage","test_workflows_page","",""
"","120","test_password_hide_button_is_working[chromium]","tests","Mon Feb 02 18:30:16 UTC 2026","passed","Mon Feb 02 18:30:16 UTC 2026","TestSignInPage","test_sign_in_page","",""
"Check that the UI reports password‑strength violations.

        The exact validation messages are defined by the application; the test
        asserts that *some* message appears containing the expected hint.
        ","156","Password rules validation","tests","Mon Feb 02 18:31:25 UTC 2026","passed","Mon Feb 02 18:31:25 UTC 2026","TestSignUpPage","test_sign_up_page","",""
"
        Test required field validations when generating a link.

        This test verifies that:
        1. Required field validation messages appear when submitting empty form
        2. All expected validations are shown for natural person and company forms
        ","1414","Required Field Validations","tests","Mon Feb 02 18:31:28 UTC 2026","passed","Mon Feb 02 18:31:29 UTC 2026","TestWorkflowsPage","test_workflows_page","",""
"
        Test validation for invalid email format when generating a link.

        Scenarios:
        - Missing @ symbol
        - Missing domain part
        - Missing local part
        - Invalid domain
        ","1373","Invalid Email Format Validation","tests","Mon Feb 02 18:32:05 UTC 2026","passed","Mon Feb 02 18:32:07 UTC 2026","TestWorkflowsPage","test_workflows_page","",""
"
        Test that search filters links correctly by Partial Email.
        Verifies that ALL result rows contain the partial text in the Email column.
        ","1718","Search by Partial Email","tests","Mon Feb 02 18:29:34 UTC 2026","passed","Mon Feb 02 18:29:35 UTC 2026","TestLinksPage","test_links_page","",""
"
        Test validation for empty email and/or password fields.

        Scenarios:
        - Empty email
        - Empty password
        - Both fields empty
        ","603","Wrong format fields validation","tests","Mon Feb 02 18:31:22 UTC 2026","broken","Mon Feb 02 18:31:22 UTC 2026","TestSignInPage","test_sign_in_page","",""
"
        Verify filtering links by Deadline Date range.

        Preconditions:
        - Links page is open with links having different deadlines

        Steps:
        1. Click ""Filter""
        2. Enter a date range using the date pickers
        3. Click ""Apply""

        Expected Results:
        - Only links with Deadline Dates within the selected range are displayed
        - Links outside the range are hidden
        - Table updates correctly after filter applied
        ","5494","Filter by Deadline Date Range","tests","Mon Feb 02 18:29:54 UTC 2026","failed","Mon Feb 02 18:30:00 UTC 2026","TestLinksPage","test_links_page","",""
"
        Verify filtering links by Profile Type using search.

        Steps:
        1. Open ""Filter"" and select a profile type
        2. Click ""Apply""
        3. Search for a name of a DIFFERENT profile type
        4. Verify no results found (record is filtered out)
        5. Search for a name of the CORRECT profile type
        6. Verify record is found (record is NOT filtered out)
        7. Click ""Filter"" -> ""Reset""
        8. Search for the DIFFERENT profile type's name again
        9. Verify record is now found (filter is cleared)
        ","15389","Filter by Profile Type","tests","Mon Feb 02 18:29:37 UTC 2026","broken","Mon Feb 02 18:29:52 UTC 2026","TestLinksPage","test_links_page","",""
"
        Test validation for invalid email format when generating a link.

        Scenarios:
        - Missing @ symbol
        - Missing domain part
        - Missing local part
        - Invalid domain
        ","1420","Invalid Email Format Validation","tests","Mon Feb 02 18:31:31 UTC 2026","passed","Mon Feb 02 18:31:32 UTC 2026","TestWorkflowsPage","test_workflows_page","",""
"
        Test validation for invalid email format when generating a link.

        Scenarios:
        - Missing @ symbol
        - Missing domain part
        - Missing local part
        - Invalid domain
        ","534","Invalid Email Format Validation","tests","Mon Feb 02 18:31:53 UTC 2026","passed","Mon Feb 02 18:31:54 UTC 2026","TestWorkflowsPage","test_workflows_page","",""
"
        Test that the generate link modal opens correctly.

        This test verifies that:
        1. User can click generate button
        2. Modal appears with correct title
        ","210","Generate Link Modal Load","tests","Mon Feb 02 18:30:31 UTC 2026","passed","Mon Feb 02 18:30:31 UTC 2026","TestWorkflowsPage","test_workflows_page","",""
"
        Test that the login page loads and is fully visible.

        This test verifies that:
        1. User can navigate to the sign-in page
        2. Essential elements (email, password, sign-in button) are visible
        ","10","Login Page Load","tests","Mon Feb 02 18:30:01 UTC 2026","passed","Mon Feb 02 18:30:01 UTC 2026","TestSignInPage","test_sign_in_page","",""
"
        Test that the workflows page loads and is fully visible.

        This test verifies that:
        1. User can navigate to the workflows page
        2. Essential elements are visible
        ","1009","Workflows Page Load","tests","Mon Feb 02 18:30:29 UTC 2026","passed","Mon Feb 02 18:30:30 UTC 2026","TestWorkflowsPage","test_workflows_page","",""
"
        Test validation for empty email and/or password fields.

        Scenarios:
        - Empty email
        - Empty password
        - Both fields empty
        ","606","Empty fields validation","tests","Mon Feb 02 18:31:17 UTC 2026","broken","Mon Feb 02 18:31:18 UTC 2026","TestSignInPage","test_sign_in_page","",""
"
        Test closing the invalid credentials notification.

        This test verifies that:
        1. User can navigate to the sign-in page
        2. User can attempt login with invalid credentials
        3. Error notification appears and can be closed
        ","2377","Close Invalid Credentials Notification","tests","Mon Feb 02 18:30:10 UTC 2026","passed","Mon Feb 02 18:30:12 UTC 2026","TestSignInPage","test_sign_in_page","",""
"Leave a single required field empty and verify the *This field is required* message.

        All other fields are filled with valid dummy data.
        ","164","Required fields validation","tests","Mon Feb 02 18:32:04 UTC 2026","passed","Mon Feb 02 18:32:04 UTC 2026","TestSignUpPage","test_sign_up_page","",""
"Leave a single required field empty and verify the *This field is required* message.

        All other fields are filled with valid dummy data.
        ","156","Required fields validation","tests","Mon Feb 02 18:31:55 UTC 2026","passed","Mon Feb 02 18:31:55 UTC 2026","TestSignUpPage","test_sign_up_page","",""
"Ensure the hide/show button toggles the input ``type`` attribute.","168","Password visibility toggle works","tests","Mon Feb 02 18:31:26 UTC 2026","passed","Mon Feb 02 18:31:26 UTC 2026","TestSignUpPage","test_sign_up_page","",""
"Ensure the hide/show button toggles the input ``type`` attribute.","144","Password visibility toggle works","tests","Mon Feb 02 18:30:24 UTC 2026","passed","Mon Feb 02 18:30:25 UTC 2026","TestSignUpPage","test_sign_up_page","",""
"Leave a single required field empty and verify the *This field is required* message.

        All other fields are filled with valid dummy data.
        ","173","Required fields validation","tests","Mon Feb 02 18:31:24 UTC 2026","passed","Mon Feb 02 18:31:24 UTC 2026","TestSignUpPage","test_sign_up_page","",""
"Leave a single required field empty and verify the *This field is required* message.

        All other fields are filled with valid dummy data.
        ","162","Required fields validation","tests","Mon Feb 02 18:30:20 UTC 2026","passed","Mon Feb 02 18:30:20 UTC 2026","TestSignUpPage","test_sign_up_page","",""
"Verify that clicking 'Sign up' link opens the Sign Up page.","219","Sign-Up navigation","tests","Mon Feb 02 18:30:18 UTC 2026","passed","Mon Feb 02 18:30:18 UTC 2026","TestSignInPage","test_sign_in_page","",""
