"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
        Test validation for empty email and/or password fields.

        Scenarios:
        - Empty email
        - Empty password
        - Both fields empty
        ","107","Wrong format fields validation","tests.public","Sun Mar 15 18:40:36 UTC 2026","passed","Sun Mar 15 18:40:36 UTC 2026","TestSignInPage","test_sign_in_page","",""
"
        Test validation for invalid email format when generating a link.

        Scenarios:
        - Missing @ symbol
        - Missing domain part
        - Missing local part
        - Invalid domain
        ","2982","Invalid Email Format Validation","tests.admin","Sun Mar 15 18:41:08 UTC 2026","passed","Sun Mar 15 18:41:11 UTC 2026","TestWorkflowsPage","test_workflows_page","",""
"
        Test that clicking a Profile Link navigates to the correct profile page.

        This test verifies that:
        1. User can click on a profile link in the table
        2. User navigates to the corresponding profile page
        3. Profile details (Customer Name, Email, Profile Type) match the selected link
        4. Verifications table shows correct Type, Status (Draft), and Creation Date
        ","1625","Profile Link opens correct Profile Details with matching data and Draft verification","tests.admin","Sun Mar 15 18:39:43 UTC 2026","passed","Sun Mar 15 18:39:45 UTC 2026","TestLinksPage","test_links_page","",""
"
        Test notification for invalid email and password.

        This test verifies that:
        1. User can navigate to the sign-in page
        2. User can attempt login with invalid credentials
        3. Error notification appears for invalid credentials
        ","958","Invalid Credentials Notification","tests.public","Sun Mar 15 18:40:15 UTC 2026","passed","Sun Mar 15 18:40:16 UTC 2026","TestSignInPage","test_sign_in_page","",""
"
        Test notification for invalid email and password.

        This test verifies that:
        1. User can navigate to the sign-in page
        2. User can attempt login with invalid credentials
        3. Error notification appears for invalid credentials
        ","955","Invalid Credentials Notification","tests.public","Sun Mar 15 18:39:08 UTC 2026","passed","Sun Mar 15 18:39:09 UTC 2026","TestSignInPage","test_sign_in_page","",""
"
        Verify filtering links by Profile Type using search.

        Steps:
        1. Open ""Filter"" and select a profile type
        2. Click ""Apply""
        3. Search for a name of a DIFFERENT profile type
        4. Verify no results found (record is filtered out)
        5. Search for a name of the CORRECT profile type
        6. Verify record is found (record is NOT filtered out)
        7. Click ""Filter"" -> ""Reset""
        8. Search for the DIFFERENT profile type's name again
        9. Verify record is now found (filter is cleared)
        ","3776","Filter by Profile Type","tests.admin","Sun Mar 15 18:36:14 UTC 2026","passed","Sun Mar 15 18:36:17 UTC 2026","TestLinksPage","test_links_page","",""
"
        Test the complete flow of generating a link and verifying it appears in the Links page.

        This test verifies that:
        1. User can generate a natural person or company link
        2. The generated link appears in the Links page table
        ","6139","Generate Link Functional Flow","tests.admin","Sun Mar 15 18:40:00 UTC 2026","passed","Sun Mar 15 18:40:06 UTC 2026","TestWorkflowsPage","test_workflows_page","",""
"Check that the UI reports password‑strength violations.

        The exact validation messages are defined by the application; the test
        asserts that *some* message appears containing the expected hint.
        ","165","Password rules validation","tests.public","Sun Mar 15 18:40:20 UTC 2026","passed","Sun Mar 15 18:40:20 UTC 2026","TestSignUpPage","test_sign_up_page","",""
"
        Test required field validations when generating a link.

        This test verifies that:
        1. Required field validation messages appear when submitting empty form
        2. All expected validations are shown for natural person and company forms
        ","3123","Required Field Validations","tests.admin","Sun Mar 15 18:39:46 UTC 2026","passed","Sun Mar 15 18:39:49 UTC 2026","TestWorkflowsPage","test_workflows_page","",""
"
        Test validation for empty email and/or password fields.

        Scenarios:
        - Empty email
        - Empty password
        - Both fields empty
        ","115","Wrong format fields validation","tests.public","Sun Mar 15 18:40:17 UTC 2026","passed","Sun Mar 15 18:40:17 UTC 2026","TestSignInPage","test_sign_in_page","",""
