"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
        Test validation for invalid email format when generating a link.

        Scenarios:
        - Missing @ symbol
        - Missing domain part
        - Missing local part
        - Invalid domain
        ","2192","Invalid Deadline Date Validation","tests.admin","Mon Mar 09 12:12:56 UTC 2026","passed","Mon Mar 09 12:12:58 UTC 2026","TestWorkflowsPage","test_workflows_page","",""
"
        Test validation for invalid email format when generating a link.

        Scenarios:
        - Missing @ symbol
        - Missing domain part
        - Missing local part
        - Invalid domain
        ","2223","Invalid Email Format Validation","tests.admin","Mon Mar 09 12:12:52 UTC 2026","passed","Mon Mar 09 12:12:54 UTC 2026","TestWorkflowsPage","test_workflows_page","",""
"
        Test that clicking a Profile Link navigates to the correct profile page.

        This test verifies that:
        1. User can click on a profile link in the table
        2. User navigates to the corresponding profile page
        3. Profile details (Customer Name, Email, Profile Type) match the selected link
        4. Verifications table shows correct Type, Status (Draft), and Creation Date
        ","1933","Profile Link opens correct Profile Details with matching data and Draft verification","tests.admin","Mon Mar 09 12:12:40 UTC 2026","passed","Mon Mar 09 12:12:42 UTC 2026","TestLinksPage","test_links_page","",""
"Check that the UI reports password‑strength violations.

        The exact validation messages are defined by the application; the test
        asserts that *some* message appears containing the expected hint.
        ","163","Password rules validation","tests.public","Mon Mar 09 12:16:34 UTC 2026","passed","Mon Mar 09 12:16:34 UTC 2026","TestSignUpPage","test_sign_up_page","",""
"
        Test validation for empty email and/or password fields.

        Scenarios:
        - Empty email
        - Empty password
        - Both fields empty
        ","124","Wrong format fields validation","tests.public","Mon Mar 09 12:15:57 UTC 2026","passed","Mon Mar 09 12:15:57 UTC 2026","TestSignInPage","test_sign_in_page","",""
"
        Test validation for empty email and/or password fields.

        Scenarios:
        - Empty email
        - Empty password
        - Both fields empty
        ","105","Wrong format fields validation","tests.public","Mon Mar 09 12:16:17 UTC 2026","passed","Mon Mar 09 12:16:17 UTC 2026","TestSignInPage","test_sign_in_page","",""
"    def test_corporate_form_loads_correctly(self, browser, corporate_form_link):

        Test that the corporate form loads correctly when accessed via a workflow link.
        
        Preconditions:
        - Workflow link for Company is generated and active
        
        Steps:
        1. Get the workflow link from fixture
        2. Open the workflow link in a new browser tab
        
        Expected Results:
        • Business Account Setup form loads correctly
        • All sections are visible: General, Persons, Documents, FATCA and CRS
        • Welcome message is displayed at the top
        ","6294","Corporate Form Loads Correctly via Workflow Link","tests.forms","Mon Mar 09 12:14:08 UTC 2026","passed","Mon Mar 09 12:14:14 UTC 2026","TestCorporateFormPage","test_corporate_form_page","",""
"
        Test that the Company Telephone Number field enforces 7–15 character length
        (including '+' and country code).

        Uses a function-scoped browser context via corporate_general_page fixture.
        Each parametrized case fills the phone field, submits, and checks validation.
        ","2412","Phone Number Length Validation – 12345678901234","tests.forms","Mon Mar 09 12:16:10 UTC 2026","passed","Mon Mar 09 12:16:13 UTC 2026","TestCorporateFormPage","test_corporate_form_page","",""
"
        Verify that the user can copy a workflow link.
        ","898","Copy Workflow Link","tests.admin","Mon Mar 09 12:12:38 UTC 2026","passed","Mon Mar 09 12:12:39 UTC 2026","TestLinksPage","test_links_page","",""
"
        Test notification for invalid email and password.

        This test verifies that:
        1. User can navigate to the sign-in page
        2. User can attempt login with invalid credentials
        3. Error notification appears for invalid credentials
        ","960","Invalid Credentials Notification","tests.public","Mon Mar 09 12:15:55 UTC 2026","passed","Mon Mar 09 12:15:56 UTC 2026","TestSignInPage","test_sign_in_page","",""
"Enter different values for *Password* and *Repeat Password* and verify the validation.

        The application typically shows a specific message; we assert that the
        *repeat‑password* validation element displays a non‑empty error.
        ","144","Password mismatch validation","tests.public","Mon Mar 09 12:15:02 UTC 2026","passed","Mon Mar 09 12:15:02 UTC 2026","TestSignUpPage","test_sign_up_page","",""
"
        Test that the links page loads and displays correct headers.

        This test verifies that:
        1. User can navigate to the links page
        2. Table headers are correct
        ","1031","Links Page Load","tests.admin","Mon Mar 09 12:12:02 UTC 2026","passed","Mon Mar 09 12:12:03 UTC 2026","TestLinksPage","test_links_page","",""
