"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
        Test that filter popover and its elements are correctly displayed.

        This test verifies that:
        1. Filter button opens the popover
        2. Filter fields are visible
        3. Profile type options are correct
        ","2765","Filter Popover Visibility","tests","Fri Dec 19 08:33:36 UTC 2025","passed","Fri Dec 19 08:33:39 UTC 2025","TestLinksPage","test_links_page","",""
"
        Test validation for empty email and/or password fields.

        Scenarios:
        - Empty email
        - Empty password
        - Both fields empty
        ","596","Empty fields validation","tests","Fri Dec 19 08:33:47 UTC 2025","passed","Fri Dec 19 08:33:47 UTC 2025","TestSignInPage","test_signin_page","",""
"
        Test that the links page loads and displays correct headers.

        This test verifies that:
        1. User can navigate to the links page
        2. Table headers are correct
        ","2573","Links Page Load","tests","Fri Dec 19 08:33:30 UTC 2025","passed","Fri Dec 19 08:33:33 UTC 2025","TestLinksPage","test_links_page","",""
"
        Test validation for empty email and/or password fields.

        Scenarios:
        - Empty email
        - Empty password
        - Both fields empty
        ","601","Wrong format fields validation","tests","Fri Dec 19 08:34:17 UTC 2025","passed","Fri Dec 19 08:34:17 UTC 2025","TestSignInPage","test_signin_page","",""
"
        Test that the workflows page loads and is fully visible.

        This test verifies that:
        1. User can navigate to the workflows page
        2. Essential elements are visible
        ","1926","Workflows Page Load","tests","Fri Dec 19 08:33:57 UTC 2025","passed","Fri Dec 19 08:33:59 UTC 2025","TestWorkflowsPage","test_workflows_page","",""
"
        Test validation for empty email and/or password fields.

        Scenarios:
        - Empty email
        - Empty password
        - Both fields empty
        ","603","Wrong format fields validation","tests","Fri Dec 19 08:33:55 UTC 2025","passed","Fri Dec 19 08:33:55 UTC 2025","TestSignInPage","test_signin_page","",""
"
        Test validation for empty email and/or password fields.

        Scenarios:
        - Empty email
        - Empty password
        - Both fields empty
        ","587","Wrong format fields validation","tests","Fri Dec 19 08:34:11 UTC 2025","passed","Fri Dec 19 08:34:11 UTC 2025","TestSignInPage","test_signin_page","",""
"
        Test that search options are correctly displayed.

        This test verifies that:
        1. Default search option is Name
        2. All search options are available in the dropdown
        ","2490","Search Options Visibility","tests","Fri Dec 19 08:33:33 UTC 2025","passed","Fri Dec 19 08:33:36 UTC 2025","TestLinksPage","test_links_page","",""
"
        Test validation for empty email and/or password fields.

        Scenarios:
        - Empty email
        - Empty password
        - Both fields empty
        ","600","Empty fields validation","tests","Fri Dec 19 08:34:07 UTC 2025","passed","Fri Dec 19 08:34:07 UTC 2025","TestSignInPage","test_signin_page","",""
"
        Test successful login process.

        This test verifies that:
        1. User can navigate to the application
        2. User can perform login with valid credentials
        3. Login is successful and user is redirected to workflows page
        ","4267","Successful Login","tests","Fri Dec 19 08:33:41 UTC 2025","passed","Fri Dec 19 08:33:46 UTC 2025","TestSignInPage","test_signin_page","",""
"
        Test notification for invalid email and password.

        This test verifies that:
        1. User can navigate to the sign-in page
        2. User can attempt login with invalid credentials
        3. Error notification appears for invalid credentials
        ","1262","Invalid Credentials Notification","tests","Fri Dec 19 08:34:09 UTC 2025","passed","Fri Dec 19 08:34:10 UTC 2025","TestSignInPage","test_signin_page","",""
"","146","test_password_hide_button_is_working[chromium]","tests","Fri Dec 19 08:33:56 UTC 2025","passed","Fri Dec 19 08:33:56 UTC 2025","TestSignInPage","test_signin_page","",""
"
        Test that the login page loads and is fully visible.

        This test verifies that:
        1. User can navigate to the sign-in page
        2. Essential elements (email, password, sign-in button) are visible
        ","17","Login Page Load","tests","Fri Dec 19 08:33:40 UTC 2025","passed","Fri Dec 19 08:33:40 UTC 2025","TestSignInPage","test_signin_page","",""
"
        Test notification for invalid email and password.

        This test verifies that:
        1. User can navigate to the sign-in page
        2. User can attempt login with invalid credentials
        3. Error notification appears for invalid credentials
        ","1259","Invalid Credentials Notification","tests","Fri Dec 19 08:34:14 UTC 2025","passed","Fri Dec 19 08:34:16 UTC 2025","TestSignInPage","test_signin_page","",""
"
        Test validation for empty email and/or password fields.

        Scenarios:
        - Empty email
        - Empty password
        - Both fields empty
        ","630","Empty fields validation","tests","Fri Dec 19 08:34:13 UTC 2025","passed","Fri Dec 19 08:34:13 UTC 2025","TestSignInPage","test_signin_page","",""
"
        Test closing the invalid credentials notification.

        This test verifies that:
        1. User can navigate to the sign-in page
        2. User can attempt login with invalid credentials
        3. Error notification appears and can be closed
        ","2545","Close Invalid Credentials Notification","tests","Fri Dec 19 08:33:51 UTC 2025","passed","Fri Dec 19 08:33:53 UTC 2025","TestSignInPage","test_signin_page","",""
"
        Test notification for invalid email and password.

        This test verifies that:
        1. User can navigate to the sign-in page
        2. User can attempt login with invalid credentials
        3. Error notification appears for invalid credentials
        ","1353","Invalid Credentials Notification","tests","Fri Dec 19 08:33:48 UTC 2025","passed","Fri Dec 19 08:33:50 UTC 2025","TestSignInPage","test_signin_page","",""
"
        Test that the generate link modal opens correctly.

        This test verifies that:
        1. User can click generate button
        2. Modal appears with correct title
        ","1633","Generate Link Modal Load","tests","Fri Dec 19 08:33:59 UTC 2025","passed","Fri Dec 19 08:34:01 UTC 2025","TestWorkflowsPage","test_workflows_page","",""
"
        Test the flow of generating a link and verifying it appears in the Links page.

        This test verifies that:
        1. User can generate a natural person link
        2. The link appears in the Links page table
        ","4817","Generate Link Functional Flow","tests","Fri Dec 19 08:34:01 UTC 2025","passed","Fri Dec 19 08:34:06 UTC 2025","TestWorkflowsPage","test_workflows_page","",""
