"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
        Test that search filters links correctly by Full Name.
        ","1953","Search by Name","tests","Tue Feb 03 06:35:49 UTC 2026","passed","Tue Feb 03 06:35:51 UTC 2026","TestLinksPage","test_links_page","",""
"
        Test that search options are correctly displayed.

        This test verifies that:
        1. Default search option is Name
        2. All search options are available in the dropdown
        ","1280","Search Options Visibility","tests","Tue Feb 03 06:35:41 UTC 2026","passed","Tue Feb 03 06:35:43 UTC 2026","TestLinksPage","test_links_page","",""
"
        Test validation for empty email and/or password fields.

        Scenarios:
        - Empty email
        - Empty password
        - Both fields empty
        ","551","Wrong format fields validation","tests","Tue Feb 03 06:37:38 UTC 2026","passed","Tue Feb 03 06:37:39 UTC 2026","TestSignInPage","test_sign_in_page","",""
"
        Test that search filters links correctly by Email.
        ","2819","Search by Email","tests","Tue Feb 03 06:36:55 UTC 2026","passed","Tue Feb 03 06:36:58 UTC 2026","TestLinksPage","test_links_page","",""
"Verify that the sign‑up page loads and all critical elements are visible.","1116","Sign‑Up page loads and all elements are visible","tests","Tue Feb 03 06:36:29 UTC 2026","passed","Tue Feb 03 06:36:30 UTC 2026","TestSignUpPage","test_sign_up_page","",""
"
        Test validation for invalid email format when generating a link.

        Scenarios:
        - Missing @ symbol
        - Missing domain part
        - Missing local part
        - Invalid domain
        ","1883","Invalid Email Format Validation","tests","Tue Feb 03 06:36:44 UTC 2026","passed","Tue Feb 03 06:36:46 UTC 2026","TestWorkflowsPage","test_workflows_page","",""
"
        Test that search filters links correctly by Partial Email.
        Verifies that ALL result rows contain the partial text in the Email column.
        ","2892","Search by Partial Email","tests","Tue Feb 03 06:35:57 UTC 2026","passed","Tue Feb 03 06:36:00 UTC 2026","TestLinksPage","test_links_page","",""
"Leave a single required field empty and verify the *This field is required* message.

        All other fields are filled with valid dummy data.
        ","160","Required fields validation","tests","Tue Feb 03 06:37:15 UTC 2026","passed","Tue Feb 03 06:37:15 UTC 2026","TestSignUpPage","test_sign_up_page","",""
"Leave a single required field empty and verify the *This field is required* message.

        All other fields are filled with valid dummy data.
        ","156","Required fields validation","tests","Tue Feb 03 06:37:40 UTC 2026","passed","Tue Feb 03 06:37:40 UTC 2026","TestSignUpPage","test_sign_up_page","",""
"Enter different values for *Password* and *Repeat Password* and verify the validation.

        The application typically shows a specific message; we assert that the
        *repeat‑password* validation element displays a non‑empty error.
        ","150","Password mismatch validation","tests","Tue Feb 03 06:36:36 UTC 2026","passed","Tue Feb 03 06:36:36 UTC 2026","TestSignUpPage","test_sign_up_page","",""
