"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"2","Workflow Management","0","Workflow Page","0","0","Link Generation","0"
"12","Workflow Management","0","Workflow Page","0","0","Form Validation","0"
"11","Authentication","0","Login Validation","0","0","User Authentication","0"
"8","Workflow Management","0","Links Page","0","0","Search Links","0"
"1","Workflow Management","0","Workflow Page","0","0","Page Navigation","0"
"6","Sign‑Up","0","Sign‑Up Page","0","0","Field Validation – Required","0"
"1","Sign‑Up","0","Sign‑Up Page","0","0","Page Visibility","0"
"1","Sign‑Up","0","Sign‑Up Page","0","0","Field Validation – Password Mismatch","0"
"3","Workflow Management","0","Links Page","0","0","Filter Links","0"
"4","Sign‑Up","0","Sign‑Up Page","0","0","Field Validation – Password Rules","0"
"2","Sign‑Up","0","Sign‑Up Page","0","0","UI Interaction – Show/Hide Password","0"
"1","Workflow Management","0","Links Page","0","0","Page Navigation","0"
"1","Authentication","0","Login Validation","0","0","Navigation","0"
"2","Workflow Management","0","Links Page","0","0","Filter Functionality","0"
"1","Authentication","0","Login Validation","0","0","","0"
"1","Workflow Management","0","Links Page","0","0","Search Functionality","0"
"1","Workflow Management","0","Workflow Page","0","0","Modal Interaction","0"
"1","Authentication","0","Login Validation","0","0","Page Visibility","0"
"1","Sign‑Up","0","Sign‑Up Page","0","0","Field Validation – Email Format","0"
"1","Sign‑Up","0","Sign‑Up Page","0","0","Navigation","0"
